Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore
1609459200000,29000.00,29005.00,28995.00,29001.00,10.5,1609459259999,304500.50,100,5.5,159500.20,0
1609459260000,29001.00,29010.50,29000.50,29008.00,12.2,1609459319999,353900.60,110,6.0,174050.30,0
1609459320000,29008.00,29025.00,29007.00,29020.00,15.0,1609459379999,435200.00,120,7.5,217600.00,0
1609459380000,29020.00,29022.00,28980.00,28985.00,20.3,1609459439999,588450.00,150,8.0,231900.00,0
1609459440000,28985.00,29000.00,28980.00,28999.00,11.8,1609459499999,342182.00,105,5.0,144925.00,0
1609459500000,28999.00,29030.00,28998.00,29025.00,18.7,1609459559999,542787.50,130,9.7,281582.50,0
1609459560000,29025.00,29028.00,29010.00,29012.00,13.3,1609459619999,385916.00,115,6.3,182816.00,0
1609459620000,29012.00,29015.00,28950.00,28955.00,25.6,1609459679999,741208.00,160,10.0,289550.00,0
1609459680000,28955.00,28975.00,28950.00,28970.00,16.4,1609459739999,475098.00,125,7.0,202790.00,0
1609459740000,28970.00,28995.00,28968.00,28990.00,14.9,1609459799999,431951.00,118,8.0,231920.00,0
